"['rt_gs_2', 'rt_gs_3', 'rt_gs_4', 'rt_gs_5', 'rt_gs_6', 'rt_gs_7', 'rt_gs_8', 'rt_gs_9', 'rt_gs_10', 'rt_gs_11', 'rt_gs_12', 'rt_gs_13', 'rt_gs_14', 'rt_gs_15', 'rt_gs_16', 'rt_gs_17', 'rt_gs_18', 'rt_gs_19', 'rt_gs_20', 'rt_total', 'gs_1', 'gs_2', 'gs_3', 'gs_4', 'gs_5', 'gs_6', 'gs_7', 'gs_8', 'gs_9', 'gs_10', 'gs_11', 'gs_12', 'gs_13', 'gs_14', 'gs_15', 'gs_16', 'gs_17', 'gs_18', 'gs_19', 'gs_20', 'sum_score', 'gender', 'home_computer', 'state', 'age']"
15,29,10,21,13,41,21,52,17,21,16,31,15,8,11,21,11,11,11,375,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Female,No,Pearl City  HI,59
32,25,10,10,12,54,12,104,10,20,15,37,8,5,14,16,5,13,7,409,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,Virginia  USA,42
21,13,10,8,14,42,20,32,17,35,23,45,20,6,10,15,14,14,7,366,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,15,Male,Yes,NJ  USA,29
18,20,10,8,17,27,18,58,9,33,11,38,7,3,8,16,6,11,11,329,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,18,Male,Yes,Des Moines  Iowa,25
8,12,8,7,13,6,25,79,18,24,15,56,14,14,11,16,14,18,14,372,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,15,Male,No,St. Thomas  USVI,45
77,21,65,54,132,118,13,54,22,33,44,51,12,5,8,14,7,18,8,756,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,18,Female,Yes,Norfolk  VA,41
25,19,13,16,15,45,11,59,11,35,18,68,12,5,10,25,13,9,8,417,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,Yes,Michigan  USA,46
35,35,20,19,19,56,17,48,19,23,21,42,17,6,11,21,8,9,9,435,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,Pennsylvania  USA,56
22,17,11,8,12,35,9,41,13,21,13,20,8,5,10,12,7,8,6,278,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,18,Male,No,richmond  IN,62
20,28,19,9,25,43,12,43,19,15,14,46,15,9,11,23,6,9,8,374,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Female,No,North Carolina  United States,55
32,88,22,15,22,95,14,60,26,39,21,56,13,6,15,32,11,16,8,591,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,17,Male,No,Arkansas  USA,40
30,23,10,10,13,56,15,34,11,19,13,36,10,4,17,24,5,11,4,345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,NY  USA,25
19,21,8,9,18,55,10,34,16,19,13,35,13,6,12,18,7,16,6,335,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,18,Male,Yes,New York  USA,26
20,19,10,11,12,69,29,18,83,72,245,15,11,6,10,12,79,60,6,787,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,17,Female,No,texas usa,37
30,32,15,29,31,59,23,63,26,26,14,44,16,9,16,31,18,16,18,516,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,16,Female,No,Livingston  Tx,48
22,19,9,5,9,35,11,38,10,37,12,22,9,6,9,9,8,14,5,289,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,Hampshire High  Hampshire  Illinois,23
54,33,10,11,12,47,24,20,26,39,8,27,14,4,7,16,29,11,4,396,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,17,Male,Yes,United States  MN,23
26,29,11,19,30,85,12,50,17,43,12,40,14,6,14,21,8,12,9,458,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,tennessee  usa,33
17,46,17,23,29,17,8,40,9,11,9,13,9,3,6,8,9,10,5,289,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,14,Female,Yes,California  United States,28
27,26,11,13,15,36,14,60,14,23,18,34,13,6,9,30,6,11,5,371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,No,Ohio  USA,54
22,15,10,10,13,31,12,37,13,22,10,33,15,6,5,12,7,9,5,287,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Maryland  USA,38
182,30,14,11,11,66,15,64,45,13,11,34,9,5,32,45,5,13,4,609,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,Male,Yes,North Carolina  USA,29
20,21,7,61,38,44,39,90,33,39,168,27,9,6,7,7,6,9,4,635,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,14,Female,Yes,AR  USA,30
23,28,16,67,25,656,12,51,8,17,12,43,14,4,15,64,5,14,16,1090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,19,Male,Yes,Columbus  Ohio,32
37,16,15,7,13,42,9,39,16,23,14,38,11,4,8,59,6,7,4,368,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,Male,Yes,Ocala  FL,31
39,29,13,22,18,398,34,83,58,33,41,73,13,6,14,39,15,44,7,979,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Montgomery County  PA,24
11,12,5,7,14,37,7,31,6,11,12,42,6,3,5,6,3,7,3,228,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,NJ  USA,35
30,30,132,24,38,67,103,57,66,25,54,113,14,7,64,35,11,95,10,975,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,Walla Walla  WA,47
14,10,8,12,8,8,6,7,6,13,8,4,5,5,5,5,9,6,6,145,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Flushing  Michigan,41
22,16,12,10,17,42,11,38,10,20,14,43,12,7,9,14,9,10,8,324,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Female,Yes,Michigan  USA,34
25,32,17,22,29,72,17,88,27,33,31,55,17,8,13,43,14,16,15,574,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,Ohio  USA,60
15,10,9,21,23,40,14,37,18,47,21,30,19,7,14,25,14,20,15,399,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,17,Male,Yes,Westfield NJ,37
20,21,32,8,19,21,14,86,23,31,15,34,36,33,50,15,17,20,7,502,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19,Female,Yes,Independence  MO USA,33
24,18,9,14,32,58,10,40,21,18,17,31,23,6,7,22,6,12,5,373,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,18,Female,Yes,WI  USA,28
25,17,10,10,13,42,10,55,18,26,17,29,9,5,9,15,13,12,4,339,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,18,Male,Yes,NY  USA,35
50,68,22,25,26,69,17,100,49,375,34,107,24,13,22,85,43,30,12,1171,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,Whitwell  TN,69
19,13,9,7,10,18,7,39,14,27,17,23,10,5,10,16,7,12,6,269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,sheboygan  wi,36
35,35,13,17,19,65,22,64,33,42,29,80,14,13,10,77,10,17,11,606,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,No,Texas  USA,34
29,24,13,11,22,35,13,62,15,29,18,44,12,8,12,20,15,12,7,401,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,maryland  usa,40
31,28,10,12,17,72,28,62,22,57,16,68,39,5,10,21,8,15,7,528,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,Yes,Michigan  US,25
14,13,14,10,20,29,12,45,11,16,11,29,8,7,7,8,8,11,6,279,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,17,Female,Yes,CT  USA,24
33,23,18,16,24,50,20,48,13,24,20,51,20,9,10,23,10,11,7,430,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Female,No,modern college India,39
30,21,11,10,19,50,11,61,17,30,16,43,18,6,7,32,9,13,11,415,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,18,Female,Yes,Cathlamet  WA,36
32,30,15,15,20,61,10,45,26,61,37,64,17,5,13,15,19,30,14,529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Female,Yes,California  USA,39
34,22,13,18,14,58,13,33,12,21,25,44,11,7,9,25,15,14,7,395,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,Plant City  Florida,36
27,21,13,15,36,56,22,44,17,32,23,116,19,10,26,126,14,14,11,642,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19,Female,No,United States  Illinois,52
14,54,12,11,18,33,15,33,19,26,12,22,12,5,8,19,12,8,6,339,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,16,Female,Yes,Columbia  SC,32
56,20,7,16,12,45,29,50,12,22,11,35,19,5,8,27,10,8,5,397,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,18,Female,No,New York  US,57
6,8,6,5,7,4,5,37,22,17,15,28,16,7,8,15,9,10,8,233,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,15,Female,No,Maine  USA,39
32,9,56,39,35,46,12,52,10,15,14,16,36,45,36,7,25,22,6,513,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,12,Female,Yes,Louisiana  USA,23
19,14,8,10,13,45,18,31,15,21,14,36,11,5,7,15,5,10,8,305,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,19,Male,Yes,Alabama  USA,39
28,19,32,26,24,53,14,59,23,22,23,44,16,5,12,18,7,20,10,455,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,19,Female,No,Missouri  USA,34
16,12,14,14,10,24,17,64,9,13,12,28,14,7,11,12,9,11,7,304,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,9,Male,No,nyc  ny,38
16,41,24,10,21,54,10,24,12,19,40,23,15,4,7,16,6,50,5,397,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,14,Female,No,michigan  usa,35
30,27,21,29,28,40,24,52,16,30,16,34,15,9,13,23,11,16,23,457,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,el paso  tx,39
21,23,18,12,134,45,77,52,27,32,40,21,11,6,7,10,16,10,9,571,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19,Female,Yes,North Carolina  USA,36
31,19,9,13,13,40,10,34,10,17,37,24,10,5,9,14,6,8,5,314,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,Pittsburgh  Pennsylvania,39
