,candidate_id,rt_gs_2,rt_gs_3,rt_gs_4,rt_gs_5,rt_gs_6,rt_gs_7,rt_gs_8,rt_gs_9,rt_gs_10,rt_gs_11,rt_gs_12,rt_gs_13,rt_gs_14,rt_gs_15,rt_gs_16,rt_gs_17,rt_gs_18,rt_gs_19,rt_gs_20,rt_total,gs_1,gs_2,gs_3,gs_4,gs_5,gs_6,gs_7,gs_8,gs_9,gs_10,gs_11,gs_12,gs_13,gs_14,gs_15,gs_16,gs_17,gs_18,gs_19,gs_20,sum_score,gender,home_computer,state,age
805,806,30,22,13,13,43,54,16,57,17,27,20,88,30,8,11,53,33,11,7,553,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,19,Female,Yes,KS,24
806,807,31,26,14,16,33,57,14,71,25,31,19,51,12,10,16,30,11,14,11,492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,No,FL,60
807,808,18,19,15,40,11,42,16,52,12,23,16,41,44,5,9,10,9,20,6,408,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,14,Female,Yes,PA,27
808,809,35,85,22,44,22,70,68,49,75,22,15,37,15,10,10,17,13,14,7,630,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,15,Female,No,PA,40
809,810,357,4,149,6,6,10,8,26,6,9,7,203,6,4,6,9,7,5,5,833,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,14,Female,Yes,RI,25
810,811,37,41,10,10,17,67,39,63,22,58,53,71,10,8,14,48,11,51,9,639,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,Female,No,OR,44
811,812,27,24,12,15,20,34,16,71,27,32,15,33,12,7,8,14,10,10,6,393,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,16,Female,Yes,AZ,32
812,813,33,26,13,10,33,21,12,35,25,21,11,37,9,21,7,12,10,15,9,360,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,15,Female,Yes,IL,31
813,814,23,27,10,15,19,41,20,49,19,30,16,38,22,12,13,21,16,10,8,409,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18,Female,No,IA,61
814,815,42,19,12,12,13,43,13,17,240,14,13,123,10,5,6,8,7,10,5,612,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,17,Male,Yes,OH,32
815,816,31,81,15,80,32,68,13,72,11,27,27,19,27,10,10,21,10,21,9,584,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,17,Male,Yes,KY,30
816,817,19,18,11,10,18,32,10,30,8,24,14,25,7,9,9,12,7,13,9,285,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,AK,27
817,818,79,31,60,31,45,108,49,101,49,48,53,233,21,11,22,33,333,24,286,1617,0,0,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,12,Female,Yes,PA,40
818,819,43,148,29,86,34,135,137,84,47,40,48,149,35,10,14,89,16,28,9,1181,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,16,Female,Yes,VT,33
819,820,48,29,20,8,43,60,13,44,7,41,84,35,8,4,32,10,30,7,5,528,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,17,Female,Yes,FL,24
820,821,26,71,15,10,45,51,12,40,45,20,15,43,10,6,12,25,7,99,7,559,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,19,Male,No,IL,43
821,822,30,22,14,29,52,68,17,91,13,24,24,121,13,6,28,33,24,13,6,628,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,17,Female,Yes,AK,36
822,823,25,22,15,14,20,76,20,65,14,51,19,71,81,7,15,24,9,25,9,582,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,Male,Yes,MD,24
823,824,18,20,7,17,13,38,12,43,18,69,76,23,8,4,7,18,9,8,5,413,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,14,Female,Yes,MD,38
